Category,Description,Nutrient_Bank_Number,Alpha_Carotene,Beta_Carotene,Beta_Cryptoxanthin,Carbohydrate,Cholesterol,Choline,Fiber,Lutein_and_Zeaxanthin,Lycopene,Niacin,Protein,Retinol,Riboflavin,Selenium,Sugar_Total,Thiamin,Water,Fat_Monosaturated_Fat,Fat_Polysaturated_Fat,Fat_Saturated_Fat,Fat_Total_Lipid,Major_Minerals_Calcium,Major_Minerals_Copper,Major_Minerals_Iron,Major_Minerals_Magnesium,Major_Minerals_Phosphorus,Major_Minerals_Potassium,Major_Minerals_Sodium,Major_Minerals_Zinc,Vitamins_Vitamin_A__RAE,Vitamins_Vitamin_B12,Vitamins_Vitamin_B6,Vitamins_Vitamin_C,Vitamins_Vitamin_E,Vitamins_Vitamin_K
Candy,"Candy, NFS",91700010,0,0,0,98,0,0,0,0,0,0.007,0,0,0.003,0.6,62.9,0.004,1.3,0,0,0,0.2,3,0.029,0.3,3,3,5,38,0.01,0,0,0.003,0,0,0
Hard candy,Hard candy,91745020,0,0,0,98,0,0,0,0,0,0.007,0,0,0.003,0.6,62.9,0.004,1.3,0,0,0,0.2,3,0.029,0.3,3,3,5,38,0.01,0,0,0.003,0,0,0
Honey-combed hard candy with peanut butter,Honey-combed hard candy with peanut butter,91718000,0,0,0,67.41,0,24.7,1.9,0,0,5.147,8.72,0,0.085,2,62.68,0.064,2.54,8.496,4.794,5.735,20.18,21,0.169,0.71,66,132,220,174,1.03,0,0,0.173,0,3.57,0.1
Fudge,"Fudge, peanut butter",91713050,0,8,0,67.3,11,19.6,1.2,0,0,3.329,6.37,34,0.103,2.3,62.58,0.045,8.45,7.354,3.223,5.049,16.78,41,0.107,0.44,44,107,177,142,0.74,35,0.06,0.117,0,2.37,0.4
Almonds,"Almonds, sugar-coated",91701020,0,2,0,68.26,0,26,2.5,1,0,1,10,0,0.27,1.7,62.5,0.05,2.3,12.078,3.904,1.948,17.93,100,0.586,1.9,137,166,255,13,1.56,0,0,0.06,0,12.36,0
Currants,"Currants, dried",62108100,1,43,1,76.98,0,10.6,4.4,0,0,1.615,3.43,0,0.142,0.7,62.28,0.16,17.6,0.021,0.047,0.085,0.22,88,0.298,1.88,36,99,777,43,0.37,4,0,0.296,4.7,0.11,3.3
Caramel candy,"Caramel candy, chocolate covered",91703040,0,2,0,72.95,11,16.8,0.8,1,0,0.203,5.3,22,0.266,2.4,62.28,0.105,6.89,2.84,2.995,6.164,13.06,150,0.127,0.65,28,136,250,207,0.87,23,0.4,0.051,0.3,0.47,2.7
Lemon pie filling,Lemon pie filling,61113500,0,27,4,68.78,115,74.8,0.4,159,0,0.43,4.72,83,0.183,12.3,62.22,0.061,19.21,2.825,1.681,1.643,6.76,23,0.042,0.94,7,71,75,77,0.47,85,0.22,0.065,9.4,0.75,4.2
Raisins,"Raisins, chocolate covered",91739010,0,0,0,68.4,3,26.3,3.1,3,0,0.4,4.1,29,0.161,2.6,62.22,0.084,11.2,3.134,0.571,10.272,14.8,86,0.373,1.71,45,143,514,36,1.25,29,0.37,0.074,0.2,0.29,3.9
Pear,"Pear, dried",62119100,0,2,0,69.7,0,23,7.5,50,0,1.372,1.87,0,0.145,0.2,62.2,0.008,26.69,0.132,0.148,0.035,0.63,34,0.371,2.1,33,59,533,6,0.39,0,0,0.072,7,0.06,20.4
Chocolate candy with fondant and caramel,Chocolate candy with fondant and caramel,91705090,0,0,0,69.3,16,30.6,2.2,4,0,0.268,5.54,39,0.23,3.3,61.69,0.087,3.63,4.815,1.368,12.192,20.12,141,0.317,1.53,43,149,269,87,1.54,39,0.52,0.031,0.1,0.39,3.9
Chocolate-flavored sprinkles,Chocolate-flavored sprinkles,91718200,0,0,0,66.53,0,1.4,4.1,4,0,0.24,2.16,0,0.038,1.9,60.47,0.009,0.36,2.127,0.463,25.628,30.3,15,0.421,1.6,55,81,169,4,0.77,0,0,0.013,0,0.04,0.4
Chocolate syrup,Chocolate syrup,91301080,0,0,0,67.21,0,0.9,0,3,0,0.173,0,0,0.031,1.5,60,0.006,31.92,0,0,0,0,0,0.308,0,40,58,122,150,0.55,0,0,0.009,0,0.01,0.2
Marmalade,"Marmalade, all flavors",91404000,5,15,38,66.3,0,3,0.7,58,0,0.052,0.3,0,0.025,0.6,60,0.005,33.2,0,0,0,0,38,0.09,0.15,2,4,37,56,0.04,3,0,0.019,4.8,0.06,0
Toffee,"Toffee, chocolate covered",91760100,2,0,0,63.73,53,3.1,1.3,7,0,0.13,3.13,61,0.1,0,59.89,0.02,1.57,9.714,1.191,18.78,30.37,30,0.04,0.57,10,61,153,317,0.17,61,0.21,0.022,0.5,0.58,8.6
